Region/Country/Area,Country/Area name,Year,Variables,Public expenditure on education (as of 2021)
446,"China, Macao SAR",2022,Basic access to computers by level of education: Lower secondary,100
446,"China, Macao SAR",2022,Basic access to computers by level of education: Upper secondary,100
170,Colombia,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.3
170,Colombia,2004,All staff compensation as % of total expenditure in public institutions (%),71.0
170,Colombia,2004,Capital expenditure as % of total expenditure in public institutions (%),5.7
170,Colombia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.8
170,Colombia,2010,All staff compensation as % of total expenditure in public institutions (%),71.0
170,Colombia,2010,Capital expenditure as % of total expenditure in public institutions (%),22.3
170,Colombia,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.2
170,Colombia,2013,All staff compensation as % of total expenditure in public institutions (%),66.4
170,Colombia,2013,Capital expenditure as % of total expenditure in public institutions (%),27.4
170,Colombia,2013,Basic access to computers by level of education: Primary,93.9
170,Colombia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),5.8
170,Colombia,2015,All staff compensation as % of total expenditure in public institutions (%),69.0
170,Colombia,2015,Capital expenditure as % of total expenditure in public institutions (%),25.2
170,Colombia,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),3.2
170,Colombia,2020,All staff compensation as % of total expenditure in public institutions (%),83.6
170,Colombia,2020,Capital expenditure as % of total expenditure in public institutions (%),13.2
170,Colombia,2020,Basic access to computers by level of education: Primary,81.2
170,Colombia,2020,Basic access to computers by level of education: Lower secondary,93
170,Colombia,2020,Basic access to computers by level of education: Upper secondary,95
170,Colombia,2022,Basic access to computers by level of education: Primary,78.0
170,Colombia,2022,Basic access to computers by level of education: Lower secondary,91
170,Colombia,2022,Basic access to computers by level of education: Upper secondary,93
174,Comoros,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),4.8
174,Comoros,2015,All staff compensation as % of total expenditure in public institutions (%),95.2
174,Comoros,2017,Basic access to computers by level of education: Primary,30.8
174,Comoros,2017,Basic access to computers by level of education: Lower secondary,41
174,Comoros,2017,Basic access to computers by level of education: Upper secondary,52
178,Congo,2018,Basic access to computers by level of education: Primary,12.2
178,Congo,2018,Basic access to computers by level of education: Lower secondary,20
178,Congo,2018,Basic access to computers by level of education: Upper secondary,61
184,Cook Islands,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.3
184,Cook Islands,2015,All staff compensation as % of total expenditure in public institutions (%),82.4
184,Cook Islands,2015,Capital expenditure as % of total expenditure in public institutions (%),1.3
184,Cook Islands,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.9
184,Cook Islands,2022,All staff compensation as % of total expenditure in public institutions (%),75.0
184,Cook Islands,2022,Capital expenditure as % of total expenditure in public institutions (%),2.1
184,Cook Islands,2022,Basic access to computers by level of education: Primary,100.0
184,Cook Islands,2022,Basic access to computers by level of education: Lower secondary,100
184,Cook Islands,2022,Basic access to computers by level of education: Upper secondary,100
188,Costa Rica,2013,Basic access to computers by level of education: Primary,72.9
188,Costa Rica,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.7
188,Costa Rica,2020,All staff compensation as % of total expenditure in public institutions (%),71.7
188,Costa Rica,2020,Capital expenditure as % of total expenditure in public institutions (%),3.6
188,Costa Rica,2020,Basic access to computers by level of education: Primary,96.8
188,Costa Rica,2020,Basic access to computers by level of education: Lower secondary,87
188,Costa Rica,2020,Basic access to computers by level of education: Upper secondary,86
188,Costa Rica,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.9
188,Costa Rica,2021,All staff compensation as % of total expenditure in public institutions (%),75.1
188,Costa Rica,2021,Capital expenditure as % of total expenditure in public institutions (%),2.9
384,Côte d’Ivoire,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.8
384,Côte d’Ivoire,2010,All staff compensation as % of total expenditure in public institutions (%),71.2
384,Côte d’Ivoire,2010,Capital expenditure as % of total expenditure in public institutions (%),7.0
384,Côte d’Ivoire,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.4
384,Côte d’Ivoire,2015,All staff compensation as % of total expenditure in public institutions (%),72.7
384,Côte d’Ivoire,2015,Capital expenditure as % of total expenditure in public institutions (%),5.9
384,Côte d’Ivoire,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.4
384,Côte d’Ivoire,2019,All staff compensation as % of total expenditure in public institutions (%),82.6
384,Côte d’Ivoire,2019,Capital expenditure as % of total expenditure in public institutions (%),4.0
384,Côte d’Ivoire,2019,Basic access to computers by level of education: Upper secondary,86
384,Côte d’Ivoire,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.0
384,Côte d’Ivoire,2020,All staff compensation as % of total expenditure in public institutions (%),77.7
384,Côte d’Ivoire,2020,Capital expenditure as % of total expenditure in public institutions (%),8.4
384,Côte d’Ivoire,2020,Basic access to computers by level of education: Primary,7.3
384,Côte d’Ivoire,2020,Basic access to computers by level of education: Lower secondary,47
384,Côte d’Ivoire,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.8
384,Côte d’Ivoire,2022,All staff compensation as % of total expenditure in public institutions (%),75.9
384,Côte d’Ivoire,2022,Capital expenditure as % of total expenditure in public institutions (%),8.3
191,Croatia,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.0
191,Croatia,2004,All staff compensation as % of total expenditure in public institutions (%),65.6
191,Croatia,2004,Capital expenditure as % of total expenditure in public institutions (%),4.4
191,Croatia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.0
191,Croatia,2010,All staff compensation as % of total expenditure in public institutions (%),70.6
191,Croatia,2010,Capital expenditure as % of total expenditure in public institutions (%),6.4
191,Croatia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.3
191,Croatia,2015,All staff compensation as % of total expenditure in public institutions (%),69.3
191,Croatia,2015,Capital expenditure as % of total expenditure in public institutions (%),4.4
191,Croatia,2015,Basic access to computers by level of education: Primary,13.5
191,Croatia,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.4
191,Croatia,2020,All staff compensation as % of total expenditure in public institutions (%),74.5
191,Croatia,2020,Capital expenditure as % of total expenditure in public institutions (%),8.1
191,Croatia,2021,Basic access to computers by level of education: Primary,41.9
192,Cuba,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.3
192,Cuba,2005,All staff compensation as % of total expenditure in public institutions (%),52.6
192,Cuba,2005,Capital expenditure as % of total expenditure in public institutions (%),13.2
192,Cuba,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),40.5
192,Cuba,2010,All staff compensation as % of total expenditure in public institutions (%),58.6
192,Cuba,2010,Capital expenditure as % of total expenditure in public institutions (%),0.9
192,Cuba,2010,Basic access to computers by level of education: Primary,100.0
192,Cuba,2010,Basic access to computers by level of education: Lower secondary,100
192,Cuba,2010,Basic access to computers by level of education: Upper secondary,100
192,Cuba,2022,Basic access to computers by level of education: Primary,100.0
192,Cuba,2022,Basic access to computers by level of education: Lower secondary,100
192,Cuba,2022,Basic access to computers by level of education: Upper secondary,100
531,Curaçao,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.9
531,Curaçao,2013,All staff compensation as % of total expenditure in public institutions (%),86.1
196,Cyprus,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.8
196,Cyprus,2005,All staff compensation as % of total expenditure in public institutions (%),76.9
196,Cyprus,2005,Capital expenditure as % of total expenditure in public institutions (%),13.4
196,Cyprus,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.5
196,Cyprus,2010,All staff compensation as % of total expenditure in public institutions (%),77.5
196,Cyprus,2010,Capital expenditure as % of total expenditure in public institutions (%),11.0
196,Cyprus,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.0
196,Cyprus,2015,All staff compensation as % of total expenditure in public institutions (%),82.9
196,Cyprus,2015,Capital expenditure as % of total expenditure in public institutions (%),4.1
196,Cyprus,2015,Basic access to computers by level of education: Primary,87.9
196,Cyprus,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),13.7
196,Cyprus,2020,All staff compensation as % of total expenditure in public institutions (%),83.2
196,Cyprus,2020,Capital expenditure as % of total expenditure in public institutions (%),3.0
196,Cyprus,2021,Basic access to computers by level of education: Primary,32.5
203,Czechia,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.4
203,Czechia,2005,All staff compensation as % of total expenditure in public institutions (%),56.0
203,Czechia,2005,Capital expenditure as % of total expenditure in public institutions (%),9.7
203,Czechia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),38.4
203,Czechia,2010,All staff compensation as % of total expenditure in public institutions (%),51.5
203,Czechia,2010,Capital expenditure as % of total expenditure in public institutions (%),10.1
203,Czechia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),56.6
203,Czechia,2015,All staff compensation as % of total expenditure in public institutions (%),35.5
203,Czechia,2015,Capital expenditure as % of total expenditure in public institutions (%),7.9
203,Czechia,2015,Basic access to computers by level of education: Primary,96.7
203,Czechia,2015,Basic access to computers by level of education: Lower secondary,100
203,Czechia,2015,Basic access to computers by level of education: Upper secondary,100
203,Czechia,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.3
203,Czechia,2020,All staff compensation as % of total expenditure in public institutions (%),60.4
203,Czechia,2020,Capital expenditure as % of total expenditure in public institutions (%),9.2
203,Czechia,2020,Basic access to computers by level of education: Primary,98.3
203,Czechia,2020,Basic access to computers by level of education: Lower secondary,100
203,Czechia,2020,Basic access to computers by level of education: Upper secondary,100
203,Czechia,2022,Basic access to computers by level of education: Primary,98.8
203,Czechia,2022,Basic access to computers by level of education: Lower secondary,100
203,Czechia,2022,Basic access to computers by level of education: Upper secondary,100
180,Dem. Rep. of the Congo,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),2.6
180,Dem. Rep. of the Congo,2010,All staff compensation as % of total expenditure in public institutions (%),87.8
180,Dem. Rep. of the Congo,2010,Capital expenditure as % of total expenditure in public institutions (%),9.6
180,Dem. Rep. of the Congo,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),1.7
180,Dem. Rep. of the Congo,2013,All staff compensation as % of total expenditure in public institutions (%),81.4
180,Dem. Rep. of the Congo,2013,Capital expenditure as % of total expenditure in public institutions (%),16.9
180,Dem. Rep. of the Congo,2015,Basic access to computers by level of education: Primary,0.0
180,Dem. Rep. of the Congo,2015,Basic access to computers by level of education: Lower secondary,0
180,Dem. Rep. of the Congo,2015,Basic access to computers by level of education: Upper secondary,0
208,Denmark,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.7
208,Denmark,2005,All staff compensation as % of total expenditure in public institutions (%),74.1
208,Denmark,2005,Capital expenditure as % of total expenditure in public institutions (%),5.3
208,Denmark,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.0
208,Denmark,2010,All staff compensation as % of total expenditure in public institutions (%),74.9
208,Denmark,2010,Capital expenditure as % of total expenditure in public institutions (%),7.1
208,Denmark,2010,Basic access to computers by level of education: Primary,100.0
208,Denmark,2010,Basic access to computers by level of education: Lower secondary,100
208,Denmark,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.9
208,Denmark,2014,All staff compensation as % of total expenditure in public institutions (%),73.7
208,Denmark,2014,Capital expenditure as % of total expenditure in public institutions (%),6.4
208,Denmark,2014,Basic access to computers by level of education: Primary,100.0
208,Denmark,2014,Basic access to computers by level of education: Lower secondary,100
208,Denmark,2015,Basic access to computers by level of education: Primary,100.0
208,Denmark,2015,Basic access to computers by level of education: Lower secondary,100
208,Denmark,2015,Basic access to computers by level of education: Upper secondary,100
208,Denmark,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.6
208,Denmark,2020,All staff compensation as % of total expenditure in public institutions (%),72.5
208,Denmark,2020,Capital expenditure as % of total expenditure in public institutions (%),7.9
208,Denmark,2020,Basic access to computers by level of education: Primary,100.0
208,Denmark,2020,Basic access to computers by level of education: Lower secondary,100
208,Denmark,2020,Basic access to computers by level of education: Upper secondary,100
208,Denmark,2021,Basic access to computers by level of education: Primary,100.0
208,Denmark,2021,Basic access to computers by level of education: Lower secondary,100
262,Djibouti,2005,All staff compensation as % of total expenditure in public institutions (%),42.2
262,Djibouti,2005,Capital expenditure as % of total expenditure in public institutions (%),2.7
262,Djibouti,2007,All staff compensation as % of total expenditure in public institutions (%),38.8
262,Djibouti,2007,Capital expenditure as % of total expenditure in public institutions (%),4.6
212,Dominica,2010,Basic access to computers by level of education: Primary,71.0
212,Dominica,2010,Basic access to computers by level of education: Lower secondary,93
212,Dominica,2012,All staff compensation as % of total expenditure in public institutions (%),100.0
212,Dominica,2022,Basic access to computers by level of education: Primary,100.0
212,Dominica,2022,Basic access to computers by level of education: Lower secondary,100
212,Dominica,2022,Basic access to computers by level of education: Upper secondary,100
214,Dominican Republic,2004,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.1
214,Dominican Republic,2004,All staff compensation as % of total expenditure in public institutions (%),72.6
214,Dominican Republic,2004,Capital expenditure as % of total expenditure in public institutions (%),3.4
214,Dominican Republic,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.5
214,Dominican Republic,2007,All staff compensation as % of total expenditure in public institutions (%),66.9
214,Dominican Republic,2007,Capital expenditure as % of total expenditure in public institutions (%),17.6
214,Dominican Republic,2013,Basic access to computers by level of education: Primary,46.5
214,Dominican Republic,2022,Basic access to computers by level of education: Primary,23.2
214,Dominican Republic,2022,Basic access to computers by level of education: Lower secondary,48
214,Dominican Republic,2022,Basic access to computers by level of education: Upper secondary,61
218,Ecuador,2000,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.7
218,Ecuador,2000,All staff compensation as % of total expenditure in public institutions (%),78.1
218,Ecuador,2000,Capital expenditure as % of total expenditure in public institutions (%),5.2
218,Ecuador,2013,Basic access to computers by level of education: Primary,72.6
218,Ecuador,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.3
218,Ecuador,2022,All staff compensation as % of total expenditure in public institutions (%),86.2
218,Ecuador,2022,Capital expenditure as % of total expenditure in public institutions (%),2.5
218,Ecuador,2022,Basic access to computers by level of education: Primary,72.8
218,Ecuador,2022,Basic access to computers by level of education: Lower secondary,87
218,Ecuador,2022,Basic access to computers by level of education: Upper secondary,89
818,Egypt,2010,Basic access to computers by level of education: Primary,86.4
818,Egypt,2010,Basic access to computers by level of education: Lower secondary,98
818,Egypt,2010,Basic access to computers by level of education: Upper secondary,91
818,Egypt,2021,Basic access to computers by level of education: Primary,84.1
818,Egypt,2021,Basic access to computers by level of education: Lower secondary,89
818,Egypt,2021,Basic access to computers by level of education: Upper secondary,84
222,El Salvador,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.3
222,El Salvador,2005,All staff compensation as % of total expenditure in public institutions (%),66.9
222,El Salvador,2005,Capital expenditure as % of total expenditure in public institutions (%),5.8
222,El Salvador,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),37.8
222,El Salvador,2008,All staff compensation as % of total expenditure in public institutions (%),51.7
222,El Salvador,2008,Capital expenditure as % of total expenditure in public institutions (%),10.5
222,El Salvador,2010,Basic access to computers by level of education: Primary,59.0
222,El Salvador,2010,Basic access to computers by level of education: Lower secondary,81
222,El Salvador,2010,Basic access to computers by level of education: Upper secondary,97
222,El Salvador,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.0
222,El Salvador,2015,All staff compensation as % of total expenditure in public institutions (%),67.1
222,El Salvador,2015,Capital expenditure as % of total expenditure in public institutions (%),6.2
222,El Salvador,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.0
222,El Salvador,2016,All staff compensation as % of total expenditure in public institutions (%),68.0
222,El Salvador,2016,Capital expenditure as % of total expenditure in public institutions (%),7.0
222,El Salvador,2016,Basic access to computers by level of education: Primary,48.3
222,El Salvador,2016,Basic access to computers by level of education: Lower secondary,68
222,El Salvador,2018,Capital expenditure as % of total expenditure in public institutions (%),6.7
222,El Salvador,2018,Basic access to computers by level of education: Primary,61.0
222,El Salvador,2018,Basic access to computers by level of education: Lower secondary,79
222,El Salvador,2018,Basic access to computers by level of education: Upper secondary,96
222,El Salvador,2019,All staff compensation as % of total expenditure in public institutions (%),94.1
222,El Salvador,2019,Capital expenditure as % of total expenditure in public institutions (%),5.9
222,El Salvador,2019,Basic access to computers by level of education: Primary,99.6
222,El Salvador,2021,Capital expenditure as % of total expenditure in public institutions (%),21.7
232,Eritrea,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.6
232,Eritrea,2002,All staff compensation as % of total expenditure in public institutions (%),31.0
232,Eritrea,2002,Capital expenditure as % of total expenditure in public institutions (%),60.4
232,Eritrea,2004,Capital expenditure as % of total expenditure in public institutions (%),41.7
232,Eritrea,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.7
232,Eritrea,2006,All staff compensation as % of total expenditure in public institutions (%),57.7
232,Eritrea,2006,Capital expenditure as % of total expenditure in public institutions (%),19.6
233,Estonia,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.8
233,Estonia,2002,All staff compensation as % of total expenditure in public institutions (%),56.3
233,Estonia,2002,Capital expenditure as % of total expenditure in public institutions (%),15.0
233,Estonia,2004,Capital expenditure as % of total expenditure in public institutions (%),9.5
233,Estonia,2010,Basic access to computers by level of education: Primary,100.0
233,Estonia,2010,Basic access to computers by level of education: Lower secondary,100
233,Estonia,2010,Basic access to computers by level of education: Upper secondary,100
233,Estonia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.9
233,Estonia,2015,All staff compensation as % of total expenditure in public institutions (%),64.8
233,Estonia,2015,Capital expenditure as % of total expenditure in public institutions (%),8.4
233,Estonia,2015,Basic access to computers by level of education: Primary,100.0
233,Estonia,2015,Basic access to computers by level of education: Lower secondary,100
233,Estonia,2015,Basic access to computers by level of education: Upper secondary,100
233,Estonia,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.5
233,Estonia,2020,All staff compensation as % of total expenditure in public institutions (%),65.6
233,Estonia,2020,Capital expenditure as % of total expenditure in public institutions (%),12.0
233,Estonia,2020,Basic access to computers by level of education: Primary,100.0
233,Estonia,2020,Basic access to computers by level of education: Lower secondary,100
233,Estonia,2020,Basic access to computers by level of education: Upper secondary,100
233,Estonia,2021,Basic access to computers by level of education: Primary,100.0
233,Estonia,2021,Basic access to computers by level of education: Lower secondary,100
233,Estonia,2021,Basic access to computers by level of education: Upper secondary,100
748,Eswatini,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),36.2
748,Eswatini,2014,All staff compensation as % of total expenditure in public institutions (%),59.3
748,Eswatini,2014,Capital expenditure as % of total expenditure in public institutions (%),4.5
748,Eswatini,2019,Basic access to computers by level of education: Primary,69.7
748,Eswatini,2019,Basic access to computers by level of education: Lower secondary,59
748,Eswatini,2019,Basic access to computers by level of education: Upper secondary,59
231,Ethiopia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.0
231,Ethiopia,2010,All staff compensation as % of total expenditure in public institutions (%),44.8
231,Ethiopia,2010,Capital expenditure as % of total expenditure in public institutions (%),34.1
231,Ethiopia,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.3
231,Ethiopia,2014,All staff compensation as % of total expenditure in public institutions (%),42.4
231,Ethiopia,2014,Capital expenditure as % of total expenditure in public institutions (%),38.3
231,Ethiopia,2021,Basic access to computers by level of education: Lower secondary,79
231,Ethiopia,2021,Basic access to computers by level of education: Upper secondary,79
242,Fiji,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),1.2
242,Fiji,2013,All staff compensation as % of total expenditure in public institutions (%),98.7
242,Fiji,2013,Capital expenditure as % of total expenditure in public institutions (%),0.1
246,Finland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.1
246,Finland,2005,All staff compensation as % of total expenditure in public institutions (%),60.9
246,Finland,2005,Capital expenditure as % of total expenditure in public institutions (%),7.0
246,Finland,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),33.6
246,Finland,2010,All staff compensation as % of total expenditure in public institutions (%),60.3
246,Finland,2010,Capital expenditure as % of total expenditure in public institutions (%),6.1
246,Finland,2010,Basic access to computers by level of education: Primary,100.0
246,Finland,2010,Basic access to computers by level of education: Lower secondary,100
246,Finland,2010,Basic access to computers by level of education: Upper secondary,100
246,Finland,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.7
246,Finland,2015,All staff compensation as % of total expenditure in public institutions (%),56.5
246,Finland,2015,Capital expenditure as % of total expenditure in public institutions (%),8.8
246,Finland,2015,Basic access to computers by level of education: Primary,100.0
246,Finland,2015,Basic access to computers by level of education: Lower secondary,100
246,Finland,2015,Basic access to computers by level of education: Upper secondary,100
246,Finland,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.3
246,Finland,2020,All staff compensation as % of total expenditure in public institutions (%),54.3
246,Finland,2020,Capital expenditure as % of total expenditure in public institutions (%),11.4
246,Finland,2020,Basic access to computers by level of education: Primary,100.0
246,Finland,2020,Basic access to computers by level of education: Lower secondary,100
246,Finland,2020,Basic access to computers by level of education: Upper secondary,100
246,Finland,2021,Basic access to computers by level of education: Primary,100.0
246,Finland,2021,Basic access to computers by level of education: Lower secondary,100
246,Finland,2021,Basic access to computers by level of education: Upper secondary,100
250,France,2015,Basic access to computers by level of education: Primary,52.8
250,France,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.8
250,France,2020,All staff compensation as % of total expenditure in public institutions (%),76.2
250,France,2020,Capital expenditure as % of total expenditure in public institutions (%),8.0
250,France,2021,Basic access to computers by level of education: Primary,38.2
266,Gabon,2014,All staff compensation as % of total expenditure in public institutions (%),45.5
270,Gambia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.8
270,Gambia,2010,All staff compensation as % of total expenditure in public institutions (%),46.4
270,Gambia,2010,Capital expenditure as % of total expenditure in public institutions (%),42.8
270,Gambia,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.4
270,Gambia,2012,All staff compensation as % of total expenditure in public institutions (%),50.4
270,Gambia,2012,Capital expenditure as % of total expenditure in public institutions (%),42.2
270,Gambia,2015,Basic access to computers by level of education: Primary,16.9
270,Gambia,2015,Basic access to computers by level of education: Lower secondary,37
270,Gambia,2015,Basic access to computers by level of education: Upper secondary,61
270,Gambia,2021,Basic access to computers by level of education: Primary,22.5
270,Gambia,2021,Basic access to computers by level of education: Lower secondary,41
270,Gambia,2021,Basic access to computers by level of education: Upper secondary,57
268,Georgia,2015,Basic access to computers by level of education: Primary,90.3
268,Georgia,2022,Basic access to computers by level of education: Primary,100.0
268,Georgia,2022,Basic access to computers by level of education: Lower secondary,100
268,Georgia,2022,Basic access to computers by level of education: Upper secondary,98
276,Germany,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1
276,Germany,2015,All staff compensation as % of total expenditure in public institutions (%),73.1
276,Germany,2015,Capital expenditure as % of total expenditure in public institutions (%),6.8
276,Germany,2015,Basic access to computers by level of education: Primary,78.1
276,Germany,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.7
276,Germany,2020,All staff compensation as % of total expenditure in public institutions (%),71.8
276,Germany,2020,Capital expenditure as % of total expenditure in public institutions (%),9.5
276,Germany,2021,Basic access to computers by level of education: Primary,54.0
288,Ghana,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.3
288,Ghana,2005,All staff compensation as % of total expenditure in public institutions (%),63.0
288,Ghana,2005,Capital expenditure as % of total expenditure in public institutions (%),14.7
288,Ghana,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.3
288,Ghana,2010,All staff compensation as % of total expenditure in public institutions (%),68.8
288,Ghana,2010,Capital expenditure as % of total expenditure in public institutions (%),16.9
288,Ghana,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.2
288,Ghana,2014,All staff compensation as % of total expenditure in public institutions (%),73.3
288,Ghana,2014,Capital expenditure as % of total expenditure in public institutions (%),8.6
288,Ghana,2018,Basic access to computers by level of education: Lower secondary,13
288,Ghana,2018,Basic access to computers by level of education: Upper secondary,35
292,Gibraltar,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),42.3
292,Gibraltar,2017,All staff compensation as % of total expenditure in public institutions (%),54.2
292,Gibraltar,2017,Capital expenditure as % of total expenditure in public institutions (%),3.5
292,Gibraltar,2017,Basic access to computers by level of education: Primary,100.0
292,Gibraltar,2017,Basic access to computers by level of education: Lower secondary,100
292,Gibraltar,2017,Basic access to computers by level of education: Upper secondary,100
292,Gibraltar,2022,Basic access to computers by level of education: Primary,100.0
292,Gibraltar,2022,Basic access to computers by level of education: Lower secondary,100
292,Gibraltar,2022,Basic access to computers by level of education: Upper secondary,100
300,Greece,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.0
300,Greece,2005,All staff compensation as % of total expenditure in public institutions (%),67.3
300,Greece,2005,Capital expenditure as % of total expenditure in public institutions (%),21.7
300,Greece,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.5
300,Greece,2015,All staff compensation as % of total expenditure in public institutions (%),79.2
300,Greece,2015,Capital expenditure as % of total expenditure in public institutions (%),14.3
300,Greece,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.5
300,Greece,2019,All staff compensation as % of total expenditure in public institutions (%),80.0
300,Greece,2019,Capital expenditure as % of total expenditure in public institutions (%),13.5
308,Grenada,2003,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.3
308,Grenada,2003,All staff compensation as % of total expenditure in public institutions (%),82.2
308,Grenada,2003,Capital expenditure as % of total expenditure in public institutions (%),9.5
308,Grenada,2010,Basic access to computers by level of education: Lower secondary,100
308,Grenada,2010,Basic access to computers by level of education: Upper secondary,100
308,Grenada,2022,Basic access to computers by level of education: Primary,50.7
308,Grenada,2022,Basic access to computers by level of education: Lower secondary,100
308,Grenada,2022,Basic access to computers by level of education: Upper secondary,100
320,Guatemala,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9
320,Guatemala,2008,All staff compensation as % of total expenditure in public institutions (%),65.2
320,Guatemala,2008,Capital expenditure as % of total expenditure in public institutions (%),11.5
320,Guatemala,2010,Capital expenditure as % of total expenditure in public institutions (%),0.1
320,Guatemala,2013,Capital expenditure as % of total expenditure in public institutions (%),3.3
320,Guatemala,2013,Basic access to computers by level of education: Primary,32.4
320,Guatemala,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
320,Guatemala,2015,All staff compensation as % of total expenditure in public institutions (%),75.3
320,Guatemala,2015,Capital expenditure as % of total expenditure in public institutions (%),3.8
320,Guatemala,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.0
320,Guatemala,2016,All staff compensation as % of total expenditure in public institutions (%),72.4
320,Guatemala,2016,Capital expenditure as % of total expenditure in public institutions (%),2.6
320,Guatemala,2016,Basic access to computers by level of education: Primary,12.5
320,Guatemala,2016,Basic access to computers by level of education: Lower secondary,44
320,Guatemala,2016,Basic access to computers by level of education: Upper secondary,66
320,Guatemala,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.3
320,Guatemala,2019,All staff compensation as % of total expenditure in public institutions (%),67.3
320,Guatemala,2019,Capital expenditure as % of total expenditure in public institutions (%),5.3
320,Guatemala,2019,Basic access to computers by level of education: Primary,37.4
320,Guatemala,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.1
