Region/Country/Area,Country/Area name,Year,Variables,"Ratio of girls to boys in primary, lower secondary and upper secondary education"
854,Burkina Faso,2022,Ratio of girls to boys in upper secondary education,0.95
108,Burundi,1995,Ratio of girls to boys in primary education,0.80
108,Burundi,2005,Ratio of girls to boys in primary education,0.86
108,Burundi,2010,Ratio of girls to boys in primary education,0.99
108,Burundi,2015,Ratio of girls to boys in primary education,1.03
108,Burundi,2020,Ratio of girls to boys in primary education,1.01
108,Burundi,2021,Ratio of girls to boys in primary education,1.08
108,Burundi,2022,Ratio of girls to boys in primary education,1.04
108,Burundi,2005,Ratio of girls to boys in lower secondary education,0.77
108,Burundi,2010,Ratio of girls to boys in lower secondary education,0.76
108,Burundi,2015,Ratio of girls to boys in lower secondary education,1.01
108,Burundi,2020,Ratio of girls to boys in lower secondary education,1.21
108,Burundi,2021,Ratio of girls to boys in lower secondary education,1.22
108,Burundi,2022,Ratio of girls to boys in lower secondary education,1.22
108,Burundi,2005,Ratio of girls to boys in upper secondary education,0.66
108,Burundi,2010,Ratio of girls to boys in upper secondary education,0.60
108,Burundi,2015,Ratio of girls to boys in upper secondary education,0.75
108,Burundi,2020,Ratio of girls to boys in upper secondary education,1.14
108,Burundi,2022,Ratio of girls to boys in upper secondary education,1.19
132,Cabo Verde,2005,Ratio of girls to boys in primary education,0.97
132,Cabo Verde,2010,Ratio of girls to boys in primary education,0.95
132,Cabo Verde,2015,Ratio of girls to boys in primary education,0.94
132,Cabo Verde,2020,Ratio of girls to boys in primary education,0.94
132,Cabo Verde,2021,Ratio of girls to boys in primary education,0.95
132,Cabo Verde,2005,Ratio of girls to boys in lower secondary education,1.12
132,Cabo Verde,2010,Ratio of girls to boys in lower secondary education,1.11
132,Cabo Verde,2015,Ratio of girls to boys in lower secondary education,1.03
132,Cabo Verde,2020,Ratio of girls to boys in lower secondary education,1.01
132,Cabo Verde,2021,Ratio of girls to boys in lower secondary education,1.00
132,Cabo Verde,2005,Ratio of girls to boys in upper secondary education,1.14
132,Cabo Verde,2010,Ratio of girls to boys in upper secondary education,1.26
132,Cabo Verde,2015,Ratio of girls to boys in upper secondary education,1.22
132,Cabo Verde,2020,Ratio of girls to boys in upper secondary education,1.19
132,Cabo Verde,2021,Ratio of girls to boys in upper secondary education,1.22
116,Cambodia,1995,Ratio of girls to boys in primary education,0.82
116,Cambodia,2005,Ratio of girls to boys in primary education,0.92
116,Cambodia,2010,Ratio of girls to boys in primary education,0.95
116,Cambodia,2015,Ratio of girls to boys in primary education,0.98
116,Cambodia,2020,Ratio of girls to boys in primary education,0.98
116,Cambodia,2021,Ratio of girls to boys in primary education,0.99
116,Cambodia,2022,Ratio of girls to boys in primary education,1.02
116,Cambodia,2005,Ratio of girls to boys in lower secondary education,0.79
116,Cambodia,2010,Ratio of girls to boys in lower secondary education,0.93
116,Cambodia,2015,Ratio of girls to boys in lower secondary education,1.05
116,Cambodia,2020,Ratio of girls to boys in lower secondary education,1.13
116,Cambodia,2021,Ratio of girls to boys in lower secondary education,1.16
116,Cambodia,2022,Ratio of girls to boys in lower secondary education,1.14
116,Cambodia,2020,Ratio of girls to boys in upper secondary education,1.01
116,Cambodia,2021,Ratio of girls to boys in upper secondary education,1.17
120,Cameroon,1995,Ratio of girls to boys in primary education,0.89
120,Cameroon,2005,Ratio of girls to boys in primary education,0.83
120,Cameroon,2010,Ratio of girls to boys in primary education,0.86
120,Cameroon,2015,Ratio of girls to boys in primary education,0.89
120,Cameroon,2020,Ratio of girls to boys in primary education,0.90
120,Cameroon,2021,Ratio of girls to boys in primary education,0.90
120,Cameroon,2022,Ratio of girls to boys in primary education,0.91
120,Cameroon,2005,Ratio of girls to boys in lower secondary education,0.79
120,Cameroon,2010,Ratio of girls to boys in lower secondary education,0.80
120,Cameroon,2015,Ratio of girls to boys in lower secondary education,0.87
120,Cameroon,2020,Ratio of girls to boys in lower secondary education,0.86
120,Cameroon,2021,Ratio of girls to boys in lower secondary education,0.87
120,Cameroon,2022,Ratio of girls to boys in lower secondary education,0.91
120,Cameroon,2005,Ratio of girls to boys in upper secondary education,0.77
120,Cameroon,2010,Ratio of girls to boys in upper secondary education,0.81
120,Cameroon,2015,Ratio of girls to boys in upper secondary education,0.80
120,Cameroon,2020,Ratio of girls to boys in upper secondary education,0.87
120,Cameroon,2021,Ratio of girls to boys in upper secondary education,0.89
120,Cameroon,2022,Ratio of girls to boys in upper secondary education,0.88
124,Canada,1995,Ratio of girls to boys in primary education,0.99
124,Canada,2005,Ratio of girls to boys in primary education,0.99
124,Canada,2010,Ratio of girls to boys in primary education,1.01
124,Canada,2015,Ratio of girls to boys in primary education,0.99
124,Canada,2020,Ratio of girls to boys in primary education,0.99
124,Canada,2021,Ratio of girls to boys in primary education,0.99
124,Canada,1995,Ratio of girls to boys in lower secondary education,0.99
124,Canada,2005,Ratio of girls to boys in lower secondary education,0.98
124,Canada,2010,Ratio of girls to boys in lower secondary education,0.99
124,Canada,2015,Ratio of girls to boys in lower secondary education,0.99
124,Canada,2020,Ratio of girls to boys in lower secondary education,1.00
124,Canada,2021,Ratio of girls to boys in lower secondary education,0.99
124,Canada,1995,Ratio of girls to boys in upper secondary education,1.01
124,Canada,2005,Ratio of girls to boys in upper secondary education,0.97
124,Canada,2010,Ratio of girls to boys in upper secondary education,0.97
124,Canada,2015,Ratio of girls to boys in upper secondary education,1.02
124,Canada,2020,Ratio of girls to boys in upper secondary education,1.01
124,Canada,2021,Ratio of girls to boys in upper secondary education,1.00
136,Cayman Islands,2005,Ratio of girls to boys in primary education,0.98
136,Cayman Islands,2010,Ratio of girls to boys in primary education,1.04
136,Cayman Islands,2015,Ratio of girls to boys in primary education,1.18
136,Cayman Islands,2020,Ratio of girls to boys in primary education,0.89
136,Cayman Islands,2021,Ratio of girls to boys in primary education,0.80
136,Cayman Islands,2022,Ratio of girls to boys in primary education,0.75
136,Cayman Islands,2005,Ratio of girls to boys in lower secondary education,0.88
136,Cayman Islands,2015,Ratio of girls to boys in lower secondary education,1.05
136,Cayman Islands,2020,Ratio of girls to boys in lower secondary education,1.28
136,Cayman Islands,2021,Ratio of girls to boys in lower secondary education,1.29
136,Cayman Islands,2022,Ratio of girls to boys in lower secondary education,1.21
136,Cayman Islands,2005,Ratio of girls to boys in upper secondary education,0.96
136,Cayman Islands,2015,Ratio of girls to boys in upper secondary education,1.05
136,Cayman Islands,2020,Ratio of girls to boys in upper secondary education,1.21
136,Cayman Islands,2021,Ratio of girls to boys in upper secondary education,1.23
136,Cayman Islands,2022,Ratio of girls to boys in upper secondary education,1.24
140,Central African Republic,2005,Ratio of girls to boys in primary education,0.71
140,Central African Republic,2010,Ratio of girls to boys in primary education,0.73
148,Chad,1995,Ratio of girls to boys in primary education,0.49
148,Chad,2005,Ratio of girls to boys in primary education,0.69
148,Chad,2010,Ratio of girls to boys in primary education,0.74
148,Chad,2015,Ratio of girls to boys in primary education,0.78
148,Chad,2021,Ratio of girls to boys in primary education,0.82
148,Chad,2022,Ratio of girls to boys in primary education,0.83
148,Chad,2005,Ratio of girls to boys in lower secondary education,0.38
148,Chad,2010,Ratio of girls to boys in lower secondary education,0.46
148,Chad,2015,Ratio of girls to boys in lower secondary education,0.50
148,Chad,2021,Ratio of girls to boys in lower secondary education,0.65
148,Chad,1995,Ratio of girls to boys in upper secondary education,0.19
148,Chad,2005,Ratio of girls to boys in upper secondary education,0.28
148,Chad,2010,Ratio of girls to boys in upper secondary education,0.37
148,Chad,2015,Ratio of girls to boys in upper secondary education,0.36
148,Chad,2021,Ratio of girls to boys in upper secondary education,0.50
148,Chad,2022,Ratio of girls to boys in upper secondary education,0.54
152,Chile,2005,Ratio of girls to boys in primary education,0.96
152,Chile,2010,Ratio of girls to boys in primary education,0.97
152,Chile,2015,Ratio of girls to boys in primary education,0.97
152,Chile,2020,Ratio of girls to boys in primary education,0.97
152,Chile,2021,Ratio of girls to boys in primary education,0.97
152,Chile,2022,Ratio of girls to boys in primary education,0.97
152,Chile,2005,Ratio of girls to boys in lower secondary education,0.98
152,Chile,2010,Ratio of girls to boys in lower secondary education,1.00
152,Chile,2015,Ratio of girls to boys in lower secondary education,0.98
152,Chile,2020,Ratio of girls to boys in lower secondary education,0.97
152,Chile,2021,Ratio of girls to boys in lower secondary education,0.96
152,Chile,2022,Ratio of girls to boys in lower secondary education,0.96
152,Chile,2005,Ratio of girls to boys in upper secondary education,1.03
152,Chile,2010,Ratio of girls to boys in upper secondary education,1.05
152,Chile,2015,Ratio of girls to boys in upper secondary education,1.02
152,Chile,2020,Ratio of girls to boys in upper secondary education,1.00
152,Chile,2021,Ratio of girls to boys in upper secondary education,1.00
152,Chile,2022,Ratio of girls to boys in upper secondary education,0.99
156,China,1995,Ratio of girls to boys in primary education,0.96
156,China,2010,Ratio of girls to boys in primary education,1.00
156,China,2015,Ratio of girls to boys in primary education,1.01
156,China,2020,Ratio of girls to boys in primary education,1.02
156,China,2021,Ratio of girls to boys in primary education,1.02
156,China,2022,Ratio of girls to boys in primary education,1.02
156,China,1995,Ratio of girls to boys in lower secondary education,0.87
156,China,2010,Ratio of girls to boys in lower secondary education,1.03
156,China,2010,Ratio of girls to boys in upper secondary education,1.00
156,China,2015,Ratio of girls to boys in upper secondary education,1.07
156,China,2020,Ratio of girls to boys in upper secondary education,1.04
156,China,2021,Ratio of girls to boys in upper secondary education,1.03
156,China,2022,Ratio of girls to boys in upper secondary education,1.03
344,"China, Hong Kong SAR",1995,Ratio of girls to boys in primary education,1.01
344,"China, Hong Kong SAR",2005,Ratio of girls to boys in primary education,0.97
344,"China, Hong Kong SAR",2010,Ratio of girls to boys in primary education,0.99
344,"China, Hong Kong SAR",2015,Ratio of girls to boys in primary education,0.98
344,"China, Hong Kong SAR",2020,Ratio of girls to boys in primary education,0.98
344,"China, Hong Kong SAR",2021,Ratio of girls to boys in primary education,0.97
344,"China, Hong Kong SAR",2022,Ratio of girls to boys in primary education,0.98
344,"China, Hong Kong SAR",2005,Ratio of girls to boys in lower secondary education,0.99
344,"China, Hong Kong SAR",2010,Ratio of girls to boys in lower secondary education,0.97
344,"China, Hong Kong SAR",2015,Ratio of girls to boys in lower secondary education,0.97
344,"China, Hong Kong SAR",2020,Ratio of girls to boys in lower secondary education,0.97
344,"China, Hong Kong SAR",2021,Ratio of girls to boys in lower secondary education,0.97
344,"China, Hong Kong SAR",2022,Ratio of girls to boys in lower secondary education,0.98
344,"China, Hong Kong SAR",2005,Ratio of girls to boys in upper secondary education,1.01
344,"China, Hong Kong SAR",2010,Ratio of girls to boys in upper secondary education,1.02
344,"China, Hong Kong SAR",2015,Ratio of girls to boys in upper secondary education,0.96
344,"China, Hong Kong SAR",2020,Ratio of girls to boys in upper secondary education,0.93
344,"China, Hong Kong SAR",2021,Ratio of girls to boys in upper secondary education,0.93
344,"China, Hong Kong SAR",2022,Ratio of girls to boys in upper secondary education,0.97
446,"China, Macao SAR",2005,Ratio of girls to boys in primary education,0.96
446,"China, Macao SAR",2010,Ratio of girls to boys in primary education,0.97
446,"China, Macao SAR",2015,Ratio of girls to boys in primary education,1.04
446,"China, Macao SAR",2020,Ratio of girls to boys in primary education,1.02
446,"China, Macao SAR",2021,Ratio of girls to boys in primary education,1.02
446,"China, Macao SAR",2022,Ratio of girls to boys in primary education,1.05
446,"China, Macao SAR",2005,Ratio of girls to boys in lower secondary education,0.97
446,"China, Macao SAR",2010,Ratio of girls to boys in lower secondary education,0.96
446,"China, Macao SAR",2015,Ratio of girls to boys in lower secondary education,0.97
446,"China, Macao SAR",2020,Ratio of girls to boys in lower secondary education,1.01
446,"China, Macao SAR",2021,Ratio of girls to boys in lower secondary education,1.00
446,"China, Macao SAR",2022,Ratio of girls to boys in lower secondary education,0.94
446,"China, Macao SAR",2005,Ratio of girls to boys in upper secondary education,1.10
446,"China, Macao SAR",2010,Ratio of girls to boys in upper secondary education,1.06
446,"China, Macao SAR",2015,Ratio of girls to boys in upper secondary education,1.06
446,"China, Macao SAR",2020,Ratio of girls to boys in upper secondary education,1.05
446,"China, Macao SAR",2021,Ratio of girls to boys in upper secondary education,1.02
446,"China, Macao SAR",2022,Ratio of girls to boys in upper secondary education,1.04
170,Colombia,1995,Ratio of girls to boys in primary education,0.99
170,Colombia,2005,Ratio of girls to boys in primary education,0.97
170,Colombia,2010,Ratio of girls to boys in primary education,0.98
170,Colombia,2015,Ratio of girls to boys in primary education,0.97
170,Colombia,2020,Ratio of girls to boys in primary education,0.97
170,Colombia,2021,Ratio of girls to boys in primary education,0.97
170,Colombia,2022,Ratio of girls to boys in primary education,0.97
170,Colombia,2005,Ratio of girls to boys in lower secondary education,1.06
170,Colombia,2010,Ratio of girls to boys in lower secondary education,1.06
170,Colombia,2015,Ratio of girls to boys in lower secondary education,1.03
170,Colombia,2020,Ratio of girls to boys in lower secondary education,1.01
170,Colombia,2021,Ratio of girls to boys in lower secondary education,1.01
170,Colombia,2022,Ratio of girls to boys in lower secondary education,1.00
170,Colombia,2005,Ratio of girls to boys in upper secondary education,1.14
170,Colombia,2010,Ratio of girls to boys in upper secondary education,1.15
170,Colombia,2015,Ratio of girls to boys in upper secondary education,1.15
170,Colombia,2020,Ratio of girls to boys in upper secondary education,1.11
170,Colombia,2021,Ratio of girls to boys in upper secondary education,1.11
170,Colombia,2022,Ratio of girls to boys in upper secondary education,1.12
178,Congo,1995,Ratio of girls to boys in primary education,0.85
178,Congo,2005,Ratio of girls to boys in primary education,0.93
178,Congo,2010,Ratio of girls to boys in primary education,0.94
178,Congo,2015,Ratio of girls to boys in primary education,1.01
178,Congo,2005,Ratio of girls to boys in lower secondary education,0.88
178,Congo,2010,Ratio of girls to boys in upper secondary education,0.59
184,Cook Islands,2005,Ratio of girls to boys in primary education,0.98
184,Cook Islands,2010,Ratio of girls to boys in primary education,1.00
184,Cook Islands,2015,Ratio of girls to boys in primary education,0.99
184,Cook Islands,2020,Ratio of girls to boys in primary education,1.00
184,Cook Islands,2021,Ratio of girls to boys in primary education,0.96
184,Cook Islands,2022,Ratio of girls to boys in primary education,1.00
184,Cook Islands,2010,Ratio of girls to boys in lower secondary education,1.01
184,Cook Islands,2015,Ratio of girls to boys in lower secondary education,1.02
184,Cook Islands,2020,Ratio of girls to boys in lower secondary education,0.91
184,Cook Islands,2021,Ratio of girls to boys in lower secondary education,0.95
184,Cook Islands,2022,Ratio of girls to boys in lower secondary education,0.92
184,Cook Islands,2010,Ratio of girls to boys in upper secondary education,1.14
184,Cook Islands,2015,Ratio of girls to boys in upper secondary education,1.01
184,Cook Islands,2020,Ratio of girls to boys in upper secondary education,1.03
184,Cook Islands,2021,Ratio of girls to boys in upper secondary education,1.08
184,Cook Islands,2022,Ratio of girls to boys in upper secondary education,1.01
188,Costa Rica,1995,Ratio of girls to boys in primary education,0.99
188,Costa Rica,2005,Ratio of girls to boys in primary education,0.99
188,Costa Rica,2010,Ratio of girls to boys in primary education,0.99
188,Costa Rica,2015,Ratio of girls to boys in primary education,1.00
188,Costa Rica,2020,Ratio of girls to boys in primary education,1.02
188,Costa Rica,2021,Ratio of girls to boys in primary education,1.02
188,Costa Rica,2022,Ratio of girls to boys in primary education,1.02
188,Costa Rica,1995,Ratio of girls to boys in lower secondary education,1.06
188,Costa Rica,2005,Ratio of girls to boys in lower secondary education,1.05
188,Costa Rica,2010,Ratio of girls to boys in lower secondary education,1.01
188,Costa Rica,2015,Ratio of girls to boys in lower secondary education,0.98
188,Costa Rica,2020,Ratio of girls to boys in lower secondary education,1.03
188,Costa Rica,2021,Ratio of girls to boys in lower secondary education,1.06
188,Costa Rica,2022,Ratio of girls to boys in lower secondary education,1.04
188,Costa Rica,1995,Ratio of girls to boys in upper secondary education,1.12
188,Costa Rica,2005,Ratio of girls to boys in upper secondary education,1.16
188,Costa Rica,2010,Ratio of girls to boys in upper secondary education,1.17
188,Costa Rica,2015,Ratio of girls to boys in upper secondary education,1.16
188,Costa Rica,2020,Ratio of girls to boys in upper secondary education,1.15
188,Costa Rica,2021,Ratio of girls to boys in upper secondary education,1.18
188,Costa Rica,2022,Ratio of girls to boys in upper secondary education,1.18
384,Côte d’Ivoire,1995,Ratio of girls to boys in primary education,0.75
384,Côte d’Ivoire,2015,Ratio of girls to boys in primary education,0.90
384,Côte d’Ivoire,2020,Ratio of girls to boys in primary education,0.95
384,Côte d’Ivoire,2021,Ratio of girls to boys in primary education,0.95
384,Côte d’Ivoire,2022,Ratio of girls to boys in primary education,0.96
384,Côte d’Ivoire,2015,Ratio of girls to boys in lower secondary education,0.74
384,Côte d’Ivoire,2020,Ratio of girls to boys in lower secondary education,0.88
384,Côte d’Ivoire,2021,Ratio of girls to boys in lower secondary education,0.90
384,Côte d’Ivoire,2022,Ratio of girls to boys in lower secondary education,0.93
384,Côte d’Ivoire,2015,Ratio of girls to boys in upper secondary education,0.68
384,Côte d’Ivoire,2020,Ratio of girls to boys in upper secondary education,0.78
384,Côte d’Ivoire,2021,Ratio of girls to boys in upper secondary education,0.81
384,Côte d’Ivoire,2022,Ratio of girls to boys in upper secondary education,0.83
191,Croatia,1995,Ratio of girls to boys in primary education,0.98
191,Croatia,2005,Ratio of girls to boys in primary education,0.99
191,Croatia,2010,Ratio of girls to boys in primary education,1.00
191,Croatia,2015,Ratio of girls to boys in primary education,1.01
191,Croatia,2020,Ratio of girls to boys in primary education,1.00
191,Croatia,2021,Ratio of girls to boys in primary education,1.00
191,Croatia,2005,Ratio of girls to boys in lower secondary education,1.02
191,Croatia,2010,Ratio of girls to boys in lower secondary education,1.03
191,Croatia,2015,Ratio of girls to boys in lower secondary education,1.04
191,Croatia,2020,Ratio of girls to boys in lower secondary education,1.06
191,Croatia,2021,Ratio of girls to boys in lower secondary education,1.05
191,Croatia,2005,Ratio of girls to boys in upper secondary education,1.05
191,Croatia,2010,Ratio of girls to boys in upper secondary education,1.11
191,Croatia,2015,Ratio of girls to boys in upper secondary education,1.05
191,Croatia,2020,Ratio of girls to boys in upper secondary education,1.05
191,Croatia,2021,Ratio of girls to boys in upper secondary education,1.06
192,Cuba,1995,Ratio of girls to boys in primary education,1.01
192,Cuba,2005,Ratio of girls to boys in primary education,0.97
192,Cuba,2010,Ratio of girls to boys in primary education,0.98
192,Cuba,2015,Ratio of girls to boys in primary education,0.95
192,Cuba,2020,Ratio of girls to boys in primary education,0.97
192,Cuba,2021,Ratio of girls to boys in primary education,0.99
192,Cuba,2022,Ratio of girls to boys in primary education,0.99
192,Cuba,2005,Ratio of girls to boys in lower secondary education,0.98
192,Cuba,2010,Ratio of girls to boys in lower secondary education,0.98
192,Cuba,2015,Ratio of girls to boys in lower secondary education,0.94
192,Cuba,2020,Ratio of girls to boys in lower secondary education,0.93
192,Cuba,2021,Ratio of girls to boys in lower secondary education,1.01
192,Cuba,2022,Ratio of girls to boys in lower secondary education,0.95
192,Cuba,2005,Ratio of girls to boys in upper secondary education,1.07
192,Cuba,2010,Ratio of girls to boys in upper secondary education,1.01
192,Cuba,2015,Ratio of girls to boys in upper secondary education,1.10
192,Cuba,2020,Ratio of girls to boys in upper secondary education,1.07
192,Cuba,2021,Ratio of girls to boys in upper secondary education,1.01
192,Cuba,2022,Ratio of girls to boys in upper secondary education,1.07
531,Curaçao,2020,Ratio of girls to boys in primary education,0.97
531,Curaçao,2020,Ratio of girls to boys in lower secondary education,1.00
531,Curaçao,2020,Ratio of girls to boys in upper secondary education,1.32
196,Cyprus,2005,Ratio of girls to boys in primary education,1.00
196,Cyprus,2010,Ratio of girls to boys in primary education,1.00
196,Cyprus,2015,Ratio of girls to boys in primary education,1.00
196,Cyprus,2020,Ratio of girls to boys in primary education,0.99
196,Cyprus,2021,Ratio of girls to boys in primary education,1.00
196,Cyprus,2005,Ratio of girls to boys in lower secondary education,1.01
196,Cyprus,2010,Ratio of girls to boys in lower secondary education,1.00
196,Cyprus,2015,Ratio of girls to boys in lower secondary education,0.99
196,Cyprus,2020,Ratio of girls to boys in lower secondary education,0.98
196,Cyprus,2021,Ratio of girls to boys in lower secondary education,0.99
196,Cyprus,2005,Ratio of girls to boys in upper secondary education,1.05
196,Cyprus,2010,Ratio of girls to boys in upper secondary education,1.02
196,Cyprus,2015,Ratio of girls to boys in upper secondary education,0.99
196,Cyprus,2020,Ratio of girls to boys in upper secondary education,0.96
196,Cyprus,2021,Ratio of girls to boys in upper secondary education,0.97
203,Czechia,1995,Ratio of girls to boys in primary education,1.00
203,Czechia,2005,Ratio of girls to boys in primary education,0.99
203,Czechia,2010,Ratio of girls to boys in primary education,1.00
203,Czechia,2015,Ratio of girls to boys in primary education,1.00
203,Czechia,2020,Ratio of girls to boys in primary education,1.00
203,Czechia,2021,Ratio of girls to boys in primary education,1.00
203,Czechia,1995,Ratio of girls to boys in lower secondary education,1.00
203,Czechia,2005,Ratio of girls to boys in lower secondary education,1.01
203,Czechia,2010,Ratio of girls to boys in lower secondary education,1.00
203,Czechia,2015,Ratio of girls to boys in lower secondary education,1.00
203,Czechia,2020,Ratio of girls to boys in lower secondary education,1.00
203,Czechia,2021,Ratio of girls to boys in lower secondary education,1.00
203,Czechia,1995,Ratio of girls to boys in upper secondary education,1.05
203,Czechia,2005,Ratio of girls to boys in upper secondary education,1.02
203,Czechia,2010,Ratio of girls to boys in upper secondary education,1.02
203,Czechia,2015,Ratio of girls to boys in upper secondary education,1.02
203,Czechia,2020,Ratio of girls to boys in upper secondary education,1.02
203,Czechia,2021,Ratio of girls to boys in upper secondary education,1.02
408,Dem. People's Rep. Korea,2015,Ratio of girls to boys in lower secondary education,1.01
408,Dem. People's Rep. Korea,2015,Ratio of girls to boys in upper secondary education,1.02
180,Dem. Rep. of the Congo,1995,Ratio of girls to boys in primary education,0.69
180,Dem. Rep. of the Congo,2010,Ratio of girls to boys in primary education,0.86
180,Dem. Rep. of the Congo,2015,Ratio of girls to boys in primary education,0.98
180,Dem. Rep. of the Congo,2020,Ratio of girls to boys in primary education,0.93
180,Dem. Rep. of the Congo,2021,Ratio of girls to boys in primary education,0.94
180,Dem. Rep. of the Congo,2010,Ratio of girls to boys in lower secondary education,0.65
180,Dem. Rep. of the Congo,2015,Ratio of girls to boys in lower secondary education,0.66
180,Dem. Rep. of the Congo,2021,Ratio of girls to boys in lower secondary education,0.66
180,Dem. Rep. of the Congo,2010,Ratio of girls to boys in upper secondary education,0.52
180,Dem. Rep. of the Congo,2015,Ratio of girls to boys in upper secondary education,0.62
180,Dem. Rep. of the Congo,2021,Ratio of girls to boys in upper secondary education,0.62
208,Denmark,1995,Ratio of girls to boys in primary education,1.01
208,Denmark,2005,Ratio of girls to boys in primary education,1.00
208,Denmark,2010,Ratio of girls to boys in primary education,1.00
208,Denmark,2015,Ratio of girls to boys in primary education,0.99
208,Denmark,2020,Ratio of girls to boys in primary education,0.99
208,Denmark,2021,Ratio of girls to boys in primary education,0.99
208,Denmark,2022,Ratio of girls to boys in primary education,0.99
208,Denmark,1995,Ratio of girls to boys in lower secondary education,1.00
208,Denmark,2005,Ratio of girls to boys in lower secondary education,1.02
208,Denmark,2010,Ratio of girls to boys in lower secondary education,1.02
208,Denmark,2015,Ratio of girls to boys in lower secondary education,1.00
208,Denmark,2020,Ratio of girls to boys in lower secondary education,0.99
208,Denmark,2021,Ratio of girls to boys in lower secondary education,0.99
208,Denmark,2022,Ratio of girls to boys in lower secondary education,1.00
208,Denmark,1995,Ratio of girls to boys in upper secondary education,1.04
208,Denmark,2005,Ratio of girls to boys in upper secondary education,1.05
208,Denmark,2010,Ratio of girls to boys in upper secondary education,1.00
208,Denmark,2015,Ratio of girls to boys in upper secondary education,1.06
208,Denmark,2020,Ratio of girls to boys in upper secondary education,1.00
208,Denmark,2021,Ratio of girls to boys in upper secondary education,0.99
208,Denmark,2022,Ratio of girls to boys in upper secondary education,0.98
262,Djibouti,1995,Ratio of girls to boys in primary education,0.78
262,Djibouti,2005,Ratio of girls to boys in primary education,0.82
262,Djibouti,2015,Ratio of girls to boys in primary education,0.89
262,Djibouti,2020,Ratio of girls to boys in primary education,0.89
262,Djibouti,2021,Ratio of girls to boys in primary education,0.89
262,Djibouti,2022,Ratio of girls to boys in primary education,0.90
262,Djibouti,2005,Ratio of girls to boys in lower secondary education,0.68
262,Djibouti,2015,Ratio of girls to boys in lower secondary education,0.82
262,Djibouti,2020,Ratio of girls to boys in lower secondary education,0.86
262,Djibouti,2021,Ratio of girls to boys in lower secondary education,0.83
262,Djibouti,2022,Ratio of girls to boys in lower secondary education,0.86
262,Djibouti,2005,Ratio of girls to boys in upper secondary education,0.64
262,Djibouti,2015,Ratio of girls to boys in upper secondary education,0.76
262,Djibouti,2020,Ratio of girls to boys in upper secondary education,0.85
262,Djibouti,2021,Ratio of girls to boys in upper secondary education,0.85
262,Djibouti,2022,Ratio of girls to boys in upper secondary education,0.85
212,Dominica,1995,Ratio of girls to boys in primary education,0.94
212,Dominica,2005,Ratio of girls to boys in primary education,0.97
212,Dominica,2010,Ratio of girls to boys in primary education,0.95
212,Dominica,2015,Ratio of girls to boys in primary education,0.95
212,Dominica,2020,Ratio of girls to boys in primary education,0.93
212,Dominica,2021,Ratio of girls to boys in primary education,0.96
212,Dominica,2022,Ratio of girls to boys in primary education,0.96
212,Dominica,2005,Ratio of girls to boys in lower secondary education,0.92
212,Dominica,2010,Ratio of girls to boys in lower secondary education,0.91
212,Dominica,2015,Ratio of girls to boys in lower secondary education,0.88
212,Dominica,2020,Ratio of girls to boys in lower secondary education,0.92
212,Dominica,2021,Ratio of girls to boys in lower secondary education,0.84
212,Dominica,2022,Ratio of girls to boys in lower secondary education,0.87
212,Dominica,2005,Ratio of girls to boys in upper secondary education,1.18
212,Dominica,2010,Ratio of girls to boys in upper secondary education,1.23
212,Dominica,2015,Ratio of girls to boys in upper secondary education,1.07
212,Dominica,2020,Ratio of girls to boys in upper secondary education,1.11
212,Dominica,2021,Ratio of girls to boys in upper secondary education,1.16
212,Dominica,2022,Ratio of girls to boys in upper secondary education,1.10
214,Dominican Republic,2005,Ratio of girls to boys in primary education,0.95
214,Dominican Republic,2010,Ratio of girls to boys in primary education,0.88
214,Dominican Republic,2015,Ratio of girls to boys in primary education,0.91
214,Dominican Republic,2020,Ratio of girls to boys in primary education,0.96
214,Dominican Republic,2021,Ratio of girls to boys in primary education,0.97
214,Dominican Republic,2022,Ratio of girls to boys in primary education,0.96
214,Dominican Republic,2005,Ratio of girls to boys in lower secondary education,1.11
214,Dominican Republic,2010,Ratio of girls to boys in lower secondary education,1.03
214,Dominican Republic,2015,Ratio of girls to boys in lower secondary education,1.03
214,Dominican Republic,2020,Ratio of girls to boys in lower secondary education,1.02
214,Dominican Republic,2021,Ratio of girls to boys in lower secondary education,1.03
214,Dominican Republic,2022,Ratio of girls to boys in lower secondary education,1.02
214,Dominican Republic,2005,Ratio of girls to boys in upper secondary education,1.20
214,Dominican Republic,2010,Ratio of girls to boys in upper secondary education,1.16
214,Dominican Republic,2015,Ratio of girls to boys in upper secondary education,1.13
214,Dominican Republic,2020,Ratio of girls to boys in upper secondary education,1.16
214,Dominican Republic,2021,Ratio of girls to boys in upper secondary education,1.16
214,Dominican Republic,2022,Ratio of girls to boys in upper secondary education,1.18
218,Ecuador,1995,Ratio of girls to boys in primary education,0.99
218,Ecuador,2005,Ratio of girls to boys in primary education,1.00
218,Ecuador,2010,Ratio of girls to boys in primary education,1.00
218,Ecuador,2015,Ratio of girls to boys in primary education,1.00
218,Ecuador,2020,Ratio of girls to boys in primary education,1.02
218,Ecuador,2021,Ratio of girls to boys in primary education,1.02
218,Ecuador,2022,Ratio of girls to boys in primary education,1.02
218,Ecuador,2005,Ratio of girls to boys in lower secondary education,0.97
218,Ecuador,2010,Ratio of girls to boys in lower secondary education,1.02
